Sub	Age	Version	Gender	cubes_acc1	cubes_acc2	objects_acc1	objects_acc2	bodies_acc1	bodies_acc2	cubes_rt1	cubes_rt2	objects_rt1	objects_rt2	bodies_rt1	bodies_rt2	cubes_acc	objects_acc	bodies_acc	total_score	cubes_rt	objects_rt	bodies_rt	mean_rt	ST_score	st_score_group	ST_rt	st_speed_group	object_scale	object_scale_group	spatial_scale	spatial_scale_group	Verbal scale	OSIQV_style	CFS_score	CFS_group	reflection_score	rumination_score	preoccupation_score
26	35	C	F	0.73	0.73	0.73	0.7	0.73	0.9	2.11	2.05	2.2	2.17	2.4	2.5	0.73	0.72	0.82	0.753333333	2.08	2.19	3.65	2.64	698	high	523	slow	53	high	42	low	39	object	54	high	12	5	5
27	20	C	F	0.83	0.87	0.83	0.9	0.9	0.93	1.38	1.29	1.37	0.96	1.45	1.17	0.85	0.87	0.92	0.876666667	1.34	1.17	2.04	1.516666667	363	high	600	slow	39	low	58	high	39	spatial	55	low	5	5	5
28	24	C	F	0.73	0.73	0.77	0.83	0.87	0.87	1.81	1.36	2.09	1.88		1.58	0.73	0.8	0.87	0.8	1.59	1.99	0.79	1.456666667	467	high	286	fast	50	low	40	low	51	object	51	low	6	6	6
29	31	C	M	0.7	0.83	0.87	0.97	0.87	0.87	0.97	1.2	1.2	0.97	0.91	0.95	0.77	0.92	0.87	0.851666667	1.09	1.09	1.39	1.19	138	low	453	slow	45	low	51	high	46	spatial	62	high	5	5	5
31	27	A	M	0.83	0.73	0.9	0.97	0.9	0.93	1.34	1.08	0.87	0.93	1.4	1.43	0.78	0.93	0.92	0.876666667	1.21	0.9	2.12	1.41	267	low	317	fast	57	high	49	high	42	object	53	low	9	5	6
32	30	A	M	0.8	0.83	1	0.93	0.83	0.83	1.56	1.53	0.87	0.79	1.43	1.54	0.82	0.97	0.83	0.87	1.55	0.83	2.2	1.526666667	305	low	431	slow	57	high	46	low	29	object	55	high	13	5	6
33	25	A	F	0.63	0.7	0.97	0.9	0.83	0.9	1.72	1.81	1	0.96	1.58	1.3	0.67	0.93	0.87	0.821666667	1.77	0.98	2.23	1.66	424	high	331	fast	61	high	49	high	39	object	50	low	6	7	9
35	22	A	F	0.6	0.97	0.9	0.9	0.83	0.93	1.53	1.37	0.83	0.98	1.22	1.04	0.78	0.9	0.88	0.855	1.45	0.91	1.74	1.366666667	219	low	314	fast	47	low	53	high	35	spatial	57	high	12	7	7
36	23	A	F	0.7	0.67	0.97	0.97	0.77	0.97	2.18	2.11	1.45	1.54	1.62	1.74	0.68	0.97	0.87	0.841666667	2.15	1.5	2.49	2.046666667	437	high	339	fast	55	high	45	low	48	object	48	low	10	7	8
37	20	A	M	0.7	0.73	0.93	0.97	0.87	0.8	1.85	1.85	1.29	0.9	1.69	1.61	0.72	0.95	0.83	0.833333333	1.85	1.1	2.5	1.816666667	239	low	501	slow	57	high	50	high	44	object	50	low	12	11	8
38	32	A	M	0.6	0.73	0.9	0.9	0.63	0.83	1.55	1.21	1.23	1.28	1.01	1.37	0.66	0.93	0.73	0.765	1.38	1.26	1.7	1.446666667	320	low	229	fast	60	high	48	high	39	object	59	high	5	6	7
40	21	A	M	0.83	0.87	0.9	0.87	0.87	0.83	2.3	2.2	1.8	1.7	2.3	2.3	0.8	0.88	0.8	0.861666667	2.25	1.75	3.45	2.483333333	172	low	470	slow	49	low	51	high	50	spatial	54	high	8	6	5
41	22	C	M	0.8	0.93	0.87	0.97	0.87	0.66	1.5	1.6	1.8	1.73	1.77	1.4	0.87	0.92	0.77	0.85	1.55	1.77	2.47	1.93	583	high	600	slow	50	low	46	low	48	object	55	high	5	5	5
43	21	C	M	0.73	0.8	0.83	0.87	0.76	0.83	1.79	1.82	1.7	1.58	1.94	1.65	0.8	0.85	0.8	0.803333333	1.81	1.64	2.77	2.073333333	298	low	456	slow	49	low	44	low	44	object	52	low	12	9	11
44	26	C	M	0.8	0.6	0.87	0.83	0.6	0.97	0.74	0.81	0.97	0.71	1.43	1.03	0.7	0.85	0.78	0.778333333	0.78	0.84	1.95	1.19	531	high	337	fast	51	low	42	low	51	object	65	high	12	6	7
45	21	B	M	0.8	0.83	0.87	0.93	0.93	0.73	1.4	1.19	1.59	1.43	1.76	1.7	0.82	0.9	0.83	0.848333333	1.3	1.51	2.61	1.806666667	478	high	510	slow	44	low	55	high	34	spatial	53	low	9	5	5
46	30	B	F	0.9	0.83	0.6	0.93	0.7	0.8	1.5	1.37	1.33	1.35	1.22	1.27	0.87	0.8	0.75	0.793333333	1.44	1.34	1.86	1.546666667	329	low	536	slow	51	low	43	low	44	object	58	high	5	5	6
47	24	B	M	0.76	0.67	0.87	0.9	0.73	0.76	0.59	0.93	0.78	0.64	0.66	0.66	0.72	0.88	0.75	0.781666667	0.76	0.71	0.99	0.82	687	high	328	fast	35	low	47	low	42	spatial	46	low	9	5	6
